player_id,player_name,position,team,games_played,mu_pergame_raw,mu_pergame,sigma_own,age,draft_number,basis,sigma_pergame,availability_rate,age_multiplier,team_changed,season_mean,season_median,season_p10,season_p90,expected_games,replacement_rank,vor_mean,vor_p90,draft_score,overall_rank,tier,position_rank,adp,adp_sd,adp_round,value_gap
00-0039139,Jahmyr Gibbs,RB,DET,17,20.5285648290008,17.459455845476295,13.527205702496252,24.451745379876797,12.0,model+realized,12.72885478684709,0.9771428571428571,1.0,False,255.52284143123026,266.97036643369086,165.67200975448756,334.5315619791545,14.41,45,143.44972440876364,183.6501842858144,165.55997734114158,1,1,1,1.7,0.8,1,0.7
00-0038542,Bijan Robinson,RB,ATL,17,20.638880599247237,17.540993588701923,10.258404015302597,24.58590006844627,8.0,model+realized,10.523604954539287,0.9771428571428571,1.0,False,254.5073971985878,268.4363080236393,164.4279391087707,325.75874480569956,14.374,45,142.43428017612115,174.87736711235945,160.2779779910522,2,1,2,1.9,0.8,1,-0.10000000000000009
00-0036223,Jonathan Taylor,RB,IND,17,20.33449696114831,16.796533946595154,12.441507261629376,27.616700889801507,41.0,model+realized+age_prior,11.959731662945394,0.9052488687782806,0.97,False,229.38468445404757,238.4283954412706,147.3450003690249,303.8781337408652,13.425,45,117.31156743158094,152.9967560475251,136.93842117035024,3,2,3,6.9,1.7,1,3.9000000000000004
00-0036963,Amon-Ra St. Brown,WR,DET,17,18.80049278505516,15.92390364416081,10.929207360527652,26.855578370978783,112.0,model+realized,10.97205031652344,0.9771428571428571,1.0,False,236.11659555141927,245.16684493868019,164.46252816232456,305.45343545195766,14.576,45,112.37016054274345,141.54380300393,128.41566389639604,4,2,1,7.7,1.4,1,3.7
00-0039040,De'Von Achane,RB,MIA,16,18.963889794658527,16.182005412158073,7.015364091288017,24.88432580424367,84.0,model+realized,8.068190048550127,0.9529124820659971,1.0,False,226.97604358077263,241.17894890383292,147.6646825860317,285.7996278275517,14.03075,45,114.90292655830599,134.9182501342116,125.91135452505407,5,2,4,9.5,1.5,1,4.5
00-0038543,Jaxon Smith-Njigba,WR,SEA,17,18.89011149809175,15.9901435624922,7.481206846649338,24.54483230663929,20.0,model+realized,8.643032412216254,0.9771428571428571,1.0,False,236.82577521253637,247.0080006494165,177.38053406017187,292.44664527354354,14.7145,45,113.07934020386055,128.5370128255159,121.58106014577099,6,2,2,6.3,1.6,1,0.2999999999999998
00-0036900,Ja'Marr Chase,WR,CIN,16,18.923497894114,15.882607853435678,10.26268320989529,26.50239561943874,5.0,model+realized,10.519340732118305,0.9529124820659971,1.0,False,230.4176213408486,238.46842222958222,164.7899264717473,295.67196799062685,14.343,45,106.67118633217278,131.7623355425992,120.47131839790731,7,2,3,4.2,1.2,1,-2.8
00-0039075,Puka Nacua,WR,LAR,16,20.8311075431019,16.75186151566407,10.20881155342449,25.259411362080765,177.0,model+realized+team_change_prior,12.447901042169791,0.8137478991596638,1.0,True,222.99273500102498,229.17470417485785,141.62081062707853,299.0691131682301,12.97175,45,99.24629999234917,135.15948072020245,118.99854939266848,8,2,4,2.8,0.7,1,-5.2
00-0037744,Trey McBride,TE,ARI,17,17.215506882967873,14.403156246571132,8.366468437617335,26.77618069815195,55.0,model+realized,9.44072728656229,0.9529124820659971,1.0,False,212.6167744671044,217.34275720030155,160.1583808685945,269.89231371401746,14.57675,18,102.19047875219596,123.63043205324462,113.98245306777272,9,2,1,31.5,5.8,3,22.5
00-0037840,Kyren Williams,RB,LAR,17,15.737557037190804,13.365720609190129,6.1148264849606715,26.015058179329227,164.0,model+realized+team_change_prior+age_prior,7.965911034449438,0.9529124820659971,0.97,True,201.27733668521648,211.7588699331418,136.39848650307172,256.7055541397968,14.9655,45,89.20421966274985,105.82417644645668,98.3451958937886,10,3,5,33.1,4.2,3,23.1
00-0037248,James Cook,RB,BUF,17,16.549020347508822,14.082511800555364,9.20159832663358,26.934976043805612,63.0,model+realized+age_prior,9.1548706908117,0.9529124820659971,0.97,False,199.01884607239296,209.03407484148687,126.95204882445172,258.15925783390486,14.05075,45,86.94572904992633,107.27788014056475,98.12841214977746,11,3,6,12.9,2.9,1,1.9000000000000004
00-0034857,Josh Allen,QB,BUF,16,22.53698044687907,19.98881810278074,10.404942335255877,30.28062970568104,7.0,model+realized,10.512341317486948,0.9289411764705882,1.0,False,284.3994346420754,293.16648803960356,218.40503981433244,352.57754675878067,14.1695,15,81.40267967070389,100.7963559046045,92.06920159934921,12,4,1,27.5,6.7,3,15.5
00-0040122,Ashton Jeanty,RB,LV,17,14.809150074023059,13.232062330927528,8.685277434696433,22.748802190280628,6.0,model+realized,8.527210273755468,0.9616,1.0,False,189.55674749492536,198.0256060466996,128.56122501073327,243.5878404893395,14.25225,45,77.48363047245873,92.70646279599939,85.85618825040609,13,5,7,11.9,2.6,1,-1.0999999999999996
00-0038597,Chase Brown,RB,CIN,17,15.14036090840617,13.072564228781333,7.346132435826753,26.4476386036961,163.0,model+realized+age_prior,7.669239508047866,0.9529124820659971,0.97,False,184.92572963549387,194.44475888184925,120.02097012073277,238.37754419968218,14.0645,45,72.85261261302723,87.49616650634206,80.90656725435039,14,5,8,15.9,3.4,2,1.9000000000000004
00-0032764,Derrick Henry,RB,BAL,17,16.36298256858361,12.367270607661817,10.002690814446469,32.6570841889117,45.0,model+realized+age_prior,9.670041826418629,0.9771428571428571,0.86,False,182.82074971720638,190.36774605477734,122.24027780314148,239.8889777793791,14.49325,45,70.74763269473975,89.00760008603899,80.79061475995434,15,5,9,15.3,2.6,2,0.3000000000000007
